05/04/2018 14:04:53:	DIGO: 4

05/04/2018 14:04:54:	DIGO: 0

05/04/2018 14:04:59:	DIGO: 8

05/04/2018 14:05:00:	DIGO: 0

05/04/2018 14:05:01:	STAT

05/04/2018 14:05:01:	DIGO: 0

05/04/2018 14:05:05:	DIGO: 4

05/04/2018 14:05:06:	DIGO: 0

05/04/2018 14:05:11:	DIGO: 8

05/04/2018 14:05:12:	DIGO: 0

05/04/2018 14:05:13:	STAT

05/04/2018 14:05:13:	DIGO: 0

05/04/2018 14:05:17:	DIGO: 4

05/04/2018 14:05:18:	DIGO: 0

05/04/2018 14:05:23:	DIGO: 8

05/04/2018 14:05:24:	DIGO: 0

05/04/2018 14:05:25:	STAT

05/04/2018 14:05:25:	DIGO: 0

05/04/2018 14:05:29:	DIGO: 4

05/04/2018 14:05:30:	DIGO: 0

05/04/2018 14:05:34:	DIGO: 8

05/04/2018 14:05:36:	DIGO: 0

05/04/2018 14:05:37:	STAT

05/04/2018 14:05:37:	DIGO: 0

05/04/2018 14:05:41:	DIGO: 4

05/04/2018 14:05:42:	DIGO: 0

05/04/2018 14:05:46:	DIGO: 8

05/04/2018 14:05:48:	DIGO: 0

05/04/2018 14:05:49:	STAT

05/04/2018 14:05:49:	DIGO: 0

05/04/2018 14:05:53:	DIGO: 4

05/04/2018 14:05:54:	DIGO: 0

05/04/2018 14:05:58:	DIGO: 8

05/04/2018 14:06:00:	DIGO: 0

05/04/2018 14:06:01:	STAT

05/04/2018 14:06:01:	DIGO: 0

05/04/2018 14:06:05:	DIGO: 4

05/04/2018 14:06:06:	DIGO: 0

05/04/2018 14:06:10:	DIGO: 8

05/04/2018 14:06:12:	DIGO: 0

05/04/2018 14:06:13:	STAT

05/04/2018 14:06:13:	DIGO: 0

05/04/2018 14:06:17:	DIGO: 4

05/04/2018 14:06:18:	DIGO: 0

05/04/2018 14:06:23:	DIGO: 8

05/04/2018 14:06:24:	DIGO: 0

05/04/2018 14:06:25:	STAT

05/04/2018 14:06:25:	DIGO: 0

05/04/2018 14:06:29:	DIGO: 4

05/04/2018 14:06:30:	DIGO: 0

05/04/2018 14:06:35:	DIGO: 8

05/04/2018 14:06:36:	DIGO: 0

05/04/2018 14:06:37:	STAT

05/04/2018 14:06:37:	DIGO: 0

05/04/2018 14:06:41:	DIGO: 4

05/04/2018 14:06:42:	DIGO: 0

05/04/2018 14:06:47:	DIGO: 8

05/04/2018 14:06:48:	DIGO: 0

05/04/2018 14:06:49:	STAT

05/04/2018 14:06:49:	DIGO: 0

05/04/2018 14:06:53:	DIGO: 4

05/04/2018 14:06:54:	DIGO: 0

05/04/2018 14:06:59:	DIGO: 8

05/04/2018 14:07:00:	DIGO: 0

05/04/2018 14:07:01:	STAT

05/04/2018 14:07:01:	DIGO: 0

05/04/2018 14:07:05:	DIGO: 4

05/04/2018 14:07:06:	DIGO: 0

05/04/2018 14:07:11:	DIGO: 8

05/04/2018 14:07:12:	DIGO: 0

05/04/2018 14:07:13:	STAT

